V,psw,sinf,tau_ns
0.8,0.016449998589687247,0.9997911341548514,1.3860597227713303
0.802,0.01789065564525186,0.999795865851205,1.3702713412357368
0.804,0.019454986798291635,0.999800490365282,1.3546627299811924
0.806,0.021153154545756066,0.9998050101244941,1.3392318445539189
0.808,0.02299607399567712,0.9998094275012992,1.3239766636679493
0.81,0.02499545352163049,0.9998137448144452,1.3088951889453968
0.812,0.027163834707908667,0.9998179643301847,1.2939854446595334
0.814,0.02951463087432412,0.9998220882634624,1.279245477480669
0.816,0.0320621633267981,0.9998261187790766,1.2646733562247807
0.818,0.03482169431971315,0.9998300579928129,1.2502671716048894
0.82,0.037809455538243,0.9998339079725537,1.2360250359851315
0.822,0.041042670713974355,0.9998376707393617,1.2219450831375251
0.824,0.04453957077645929,0.9998413482685394,1.2080254680013849
0.826,0.04831939971935498,0.9998449424906646,1.1942643664453654
0.828,0.05240240912645097,0.9998484552926021,1.1806599750321085
0.83,0.056809839065862414,0.9998518885184933,1.1672105107854698
0.832,0.06156388282784435,0.9998552439707225,1.1539142109602922
0.834,0.06668763276344998,0.9998585234108625,1.1407693328147075
0.836,0.07220500429089229,0.9998617285605974,1.1277741533849373
0.838,0.07814063499044434,0.9998648611026261,1.114926969262564
0.84,0.08451975562688675,0.9998679226815438,1.1022260963742612
0.842,0.09136802994415413,0.9998709149047051,1.0896698697639384
0.844,0.09871136019640636,0.9998738393430663,1.0772566433772912
0.846,0.1065756556423308,0.9998766975320095,1.0649847898487224
0.848,0.11498656166573909,0.9998794909721478,1.0528527002906212
0.85,0.12396914782615275,0.9998822211301119,1.0408587840849604
0.852,0.13354755401660093,0.99988488943932,1.0290014686772009
0.854,0.14374459503573606,0.9998874973007286,1.017279199372476
0.856,0.1545813252824349,0.999890046083568,1.0056904391340253
0.858,0.16607656695531903,0.9998925371260606,0.994233668383869
0.86,0.17824640707178208,0.9998949717361221,0.9829073848056805
0.862,0.1911036707739092,0.9998973511920479,0.9717101031498545
0.864,0.2046573806988321,0.999899676743184,0.9606403550407295
0.866,0.21891221456627252,0.9999019496105818,0.9496966887859549
0.868,0.23386797545386606,0.999904170987639,0.9388776691879741
0.87,0.2495190913404509,0.9999063420407251,0.9281818773576026
0.872,0.2658541622246717,0.9999084639097945,0.9176079105296796
0.874,0.28285557428269814,0.9999105377089829,0.9071543818807709
0.876,0.30049920092563903,0.9999125645271932,0.8968199203489006
0.878,0.3187542100819658,0.9999145454286662,0.8866031704552886
0.88,0.33758299542713394,0.9999164814535386,0.876502792128082
0.882,0.3569412465332484,0.9999183736183898,0.8665174605280439
0.884,0.37677816901442623,0.999920222916774,0.8566458658761905
0.886,0.3970368607882889,0.9999220303197426,0.8468867132833511
0.888,0.4176548447492311,0.9999237967763531,0.8372387225816316
0.89,0.4385647517390975,0.9999255232141673,0.827700628157762
0.892,0.4596951410715175,0.9999272105397379,0.8182711787883036
0.894,0.48097143943912213,0.9999288596390843,0.808949137476702
0.896,0.5023169732504503,0.9999304713781577,0.7997332812921585
0.898,0.5236540647269599,0.9999320466032953,0.7906224012103125
0.9,0.5449051587984043,0.9999335861416644,0.7816153019556985
0.902,0.5659939462239457,0.9999350908016965,0.7727108018459743
0.904,0.5868464485644976,0.999936561373512,0.7639077326378907
0.906,0.6073920326231483,0.999937998629334,0.7552049393749898
0.908,0.6275643255975663,0.9999394033238944,0.74660128023701
0.91,0.6473020071692476,0.9999407761948298,0.7380956263909814
0.912,0.6665494607139494,0.9999421179630682,0.7296868618439915
0.914,0.6852572723260572,0.9999434293332078,0.7213738832976001
0.916,0.7033825729658029,0.9999447109938866,0.7131556000038988
0.918,0.7208892253498652,0.9999459636181443,0.7050309336231755
0.92,0.7377478628629642,0.9999471878637746,0.6969988180831859
0.922,0.753935792506268,0.9999483843736714,0.6890581994400047
0.924,0.7694367775508516,0.999949553776166,0.6812080357404401
0.926,0.7842407180620076,0.9999506966853566,0.6734472968859981
0.928,0.7983432488226556,0.9999518137014307,0.6657749644983748
0.93,0.8117452745039938,0.9999529054109807,0.6581900317864656
0.932,0.8244524613543931,0.9999539723873108,0.6506915034148648
0.934,0.8364747033809716,0.9999550151907389,0.6432783953738561
0.936,0.8478255791724448,0.9999560343688905,0.6359497348508585
0.938,0.8585218133429596,0.9999570304569855,0.6287045601033248
0.94,0.8685827542344448,0.9999580039781201,0.6215419203330682
0.942,0.8780298771445356,0.9999589554435407,0.6144608755620139
0.944,0.8868863200643352,0.9999598853529127,0.607460496509342
0.946,0.8951764568009096,0.9999607941945826,0.6005398644700212
0.948,0.9029255104808942,0.9999616824458345,0.5936980711947112
0.95,0.910159208815976,0.9999625505731402,0.5869342187710205
0.952,0.9169034811694752,0.9999633990324049,0.5802474195061034
0.954,0.9231841963906204,0.9999642282692061,0.5736367958105832
0.956,0.9290269395623342,0.999965038719027,0.5671014800837856
0.958,0.9344568252146027,0.9999658308074861,0.560640614600265
0.96,0.939498344159576,0.9999666049505602,0.5542533513976198
0.962,0.9441752408755549,0.9999673615548025,0.5479388521655667
0.964,0.9485104182745775,0.9999681010175565,0.5416962881362738
0.966,0.9525258667037885,0.9999688237271643,0.53552483997593
0.968,0.9562426141283985,0.999969530063171,0.5294236976775423
0.97,0.959680694601254,0.9999702203965231,0.5233920604549434
