-2.00000000e-01  1.57434525e+01 -2.00000000e-01 -7.09816769e-01 
-1.96000000e-01  1.59416549e+01 -1.96000000e-01 -7.01016729e-01 
-1.92000000e-01  1.61398313e+01 -1.92000000e-01 -6.91882465e-01 
-1.88000000e-01  1.63377917e+01 -1.88000000e-01 -6.82521187e-01 
-1.84000000e-01  1.65354013e+01 -1.84000000e-01 -6.72930436e-01 
-1.80000000e-01  1.67325205e+01 -1.80000000e-01 -6.63107930e-01 
-1.76000000e-01  1.69290053e+01 -1.76000000e-01 -6.53051571e-01 
-1.72000000e-01  1.71247072e+01 -1.72000000e-01 -6.42759465e-01 
-1.68000000e-01  1.73194735e+01 -1.68000000e-01 -6.32229928e-01 
-1.64000000e-01  1.75131471e+01 -1.64000000e-01 -6.21461506e-01 
-1.60000000e-01  1.77055671e+01 -1.60000000e-01 -6.10452984e-01 
-1.56000000e-01  1.78965684e+01 -1.56000000e-01 -5.99203402e-01 
-1.52000000e-01  1.80859827e+01 -1.52000000e-01 -5.87712068e-01 
-1.48000000e-01  1.82736377e+01 -1.48000000e-01 -5.75978571e-01 
-1.44000000e-01  1.84593582e+01 -1.44000000e-01 -5.64002792e-01 
-1.40000000e-01  1.86429659e+01 -1.40000000e-01 -5.51784919e-01 
-1.36000000e-01  1.88242798e+01 -1.36000000e-01 -5.39325461e-01 
-1.32000000e-01  1.90031165e+01 -1.32000000e-01 -5.26625254e-01 
-1.28000000e-01  1.91792906e+01 -1.28000000e-01 -5.13685477e-01 
-1.24000000e-01  1.93526148e+01 -1.24000000e-01 -5.00507663e-01 
-1.20000000e-01  1.95229005e+01 -1.20000000e-01 -4.87093704e-01 
-1.16000000e-01  1.96899583e+01 -1.16000000e-01 -4.73445865e-01 
-1.12000000e-01  1.98535980e+01 -1.12000000e-01 -4.59566791e-01 
-1.08000000e-01  2.00136293e+01 -1.08000000e-01 -4.45459510e-01 
-1.04000000e-01  2.01698624e+01 -1.04000000e-01 -4.31127446e-01 
-1.00000000e-01  2.03221079e+01 -1.00000000e-01 -4.16574419e-01 
-9.60000000e-02  2.04701781e+01 -9.60000000e-02 -4.01804651e-01 
-9.20000000e-02  2.06138867e+01 -9.20000000e-02 -3.86822766e-01 
-8.80000000e-02  2.07530497e+01 -8.80000000e-02 -3.71633795e-01 
-8.40000000e-02  2.08874859e+01 -8.40000000e-02 -3.56243173e-01 
-8.00000000e-02  2.10170175e+01 -8.00000000e-02 -3.40656735e-01 
-7.60000000e-02  2.11414701e+01 -7.60000000e-02 -3.24880718e-01 
-7.20000000e-02  2.12606741e+01 -7.20000000e-02 -3.08921752e-01 
-6.80000000e-02  2.13744643e+01 -6.80000000e-02 -2.92786856e-01 
-6.40000000e-02  2.14826812e+01 -6.40000000e-02 -2.76483426e-01 
-6.00000000e-02  2.15851710e+01 -6.00000000e-02 -2.60019231e-01 
-5.60000000e-02  2.16817863e+01 -5.60000000e-02 -2.43402397e-01 
-5.20000000e-02  2.17723867e+01 -5.20000000e-02 -2.26641394e-01 
-4.80000000e-02  2.18568389e+01 -4.80000000e-02 -2.09745025e-01 
-4.40000000e-02  2.19350177e+01 -4.40000000e-02 -1.92722406e-01 
-4.00000000e-02  2.20068059e+01 -4.00000000e-02 -1.75582952e-01 
-3.60000000e-02  2.20720952e+01 -3.60000000e-02 -1.58336354e-01 
-3.20000000e-02  2.21307862e+01 -3.20000000e-02 -1.40992561e-01 
-2.80000000e-02  2.21827891e+01 -2.80000000e-02 -1.23561756e-01 
-2.40000000e-02  2.22280236e+01 -2.40000000e-02 -1.06054339e-01 
-2.00000000e-02  2.22664198e+01 -2.00000000e-02 -8.84808928e-02 
-1.60000000e-02  2.22979178e+01 -1.60000000e-02 -7.08521683e-02 
-1.20000000e-02  2.23224685e+01 -1.20000000e-02 -5.31790517e-02 
-8.00000000e-03  2.23400334e+01 -8.00000000e-03 -3.54725409e-02 
-4.00000000e-03  2.23505849e+01 -4.00000000e-03 -1.77437174e-02 
 1.38777878e-16  2.23505922e+01  1.38777878e-16  6.15351225e-16 
 4.00000000e-03  2.23505922e+01  4.00000000e-03  1.77362894e-02 
 8.00000000e-03  2.23400481e+01  8.00000000e-03  3.54651410e-02 
 1.20000000e-02  2.23224905e+01  1.20000000e-02  5.31716983e-02 
 1.60000000e-02  2.22979470e+01  1.60000000e-02  7.08448796e-02 
 2.00000000e-02  2.22664561e+01  2.00000000e-02  8.84736868e-02 
 2.40000000e-02  2.22280668e+01  2.40000000e-02  1.06047233e-01 
 2.80000000e-02  2.21828391e+01  2.80000000e-02  1.23554768e-01 
 3.20000000e-02  2.21308428e+01  3.20000000e-02  1.40985705e-01 
 3.60000000e-02  2.20721582e+01  3.60000000e-02  1.58329648e-01 
 4.00000000e-02  2.20068750e+01  4.00000000e-02  1.75576410e-01 
 4.40000000e-02  2.19350927e+01  4.40000000e-02  1.92716042e-01 
 4.80000000e-02  2.18569196e+01  4.80000000e-02  2.09738852e-01 
 5.20000000e-02  2.17724727e+01  5.20000000e-02  2.26635424e-01 
 5.60000000e-02  2.16818775e+01  5.60000000e-02  2.43396642e-01 
 6.00000000e-02  2.15852669e+01  6.00000000e-02  2.60013702e-01 
 6.40000000e-02  2.14827815e+01  6.40000000e-02  2.76478131e-01 
 6.80000000e-02  2.13745686e+01  6.80000000e-02  2.92781803e-01 
 7.20000000e-02  2.12607821e+01  7.20000000e-02  3.08916948e-01 
 7.60000000e-02  2.11415816e+01  7.60000000e-02  3.24876170e-01 
 8.00000000e-02  2.10171320e+01  8.00000000e-02  3.40652447e-01 
